2025/06/26 01:35:34 [error] 242#242: *107 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /tasks HTTP/1.1", host: "localhost"
2025/06/26 01:35:54 [error] 244#244: *115 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /js/main.bundle.js?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:35:54 [error] 243#243: *113 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:35:55 [error] 245#245: *117 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/site.webmanifest HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:35:55 [error] 243#243: *113 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:35:55 [error] 243#243: *113 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-32x32.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:35:55 [error] 244#244: *115 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/apple-touch-icon.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:35:55 [error] 244#244: *115 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-16x16.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:36:00 [error] 244#244: *115 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:36:00 [error] 245#245: *117 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/site.webmanifest HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:36:31 [error] 262#262: *125 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
